Date,Tweets,Impressions,Engagements,Retweets,Replies,Likes,Profile,URL,Hashtag,Details,Follows,Media
2020-09-11,7,7130,85,6,0,28,12,3,0,13,0,23
2020-09-12,1,1456,11,2,0,4,1,0,2,0,0,2
2020-09-13,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,9,12897,186,20,1,57,16,16,1,48,0,27
2020-09-15,6,10294,157,20,1,29,20,0,3,47,0,37
2020-09-16,6,13873,155,14,0,56,21,14,0,40,0,10
2020-09-17,9,14472,174,22,0,46,22,7,1,48,0,28
2020-09-18,9,7766,98,11,0,25,4,6,1,24,0,27
2020-09-19,2,1392,30,2,0,4,1,2,0,10,0,11
2020-09-20,1,4452,63,4,0,10,1,0,0,18,0,30
2020-09-21,5,5067,76,7,0,14,3,9,1,15,0,27
2020-09-22,6,8011,138,9,0,25,10,11,0,73,0,10
2020-09-23,5,9582,103,12,1,33,8,7,5,31,0,6
2020-09-24,3,2839,33,4,0,6,1,4,0,9,0,9
2020-09-25,2,2031,34,4,0,8,4,6,2,8,0,2
2020-09-26,1,795,20,3,0,4,0,7,1,1,0,4
2020-09-27,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,5,12094,191,9,5,62,23,19,1,59,0,13
2020-09-29,7,10195,104,10,0,34,14,15,0,20,0,11
2020-09-30,11,13436,191,24,0,56,15,5,3,54,0,34
2020-10-01,6,4506,42,3,0,8,8,5,1,9,0,8
2020-10-09,11,9632,66,5,0,21,10,0,2,15,0,13
2020-10-10,3,3620,47,4,0,11,6,2,1,9,0,14
2020-10-11,3,4327,165,12,0,15,13,19,6,26,0,74
2020-10-12,0,2133,56,0,0,3,2,9,3,14,0,25
2020-10-13,8,8057,88,2,0,26,8,3,1,19,0,29
2020-10-14,12,14191,138,8,0,43,21,1,0,37,0,28
2020-10-15,12,15651,63,0,0,21,2,0,3,20,0,17
2020-10-16,11,10543,114,4,0,49,7,8,1,14,0,31
2020-10-17,0,1967,45,1,0,6,11,5,2,12,0,9
2020-10-18,0,998,7,0,0,0,3,0,0,3,0,1
2020-10-19,8,8782,100,16,0,34,18,8,0,15,0,9
2020-10-20,11,19009,275,28,1,92,15,28,3,50,0,58
2020-10-21,12,21248,332,23,0,57,26,34,3,74,0,115
2020-10-22,13,14545,218,13,1,29,19,13,0,68,0,75
2020-10-23,10,16251,185,19,0,40,12,15,1,46,0,52
2020-10-24,11,9349,117,4,0,28,12,3,4,31,0,35
2020-10-25,10,12547,135,12,3,33,15,4,2,35,0,31
2020-10-26,10,18524,200,9,1,60,21,10,1,62,0,36
2020-10-27,6,10636,243,14,0,32,24,30,3,58,0,82
2020-10-28,6,11671,167,11,0,26,24,12,0,43,0,51
2020-10-29,5,10493,223,21,0,31,19,24,2,52,0,74
2020-10-30,4,4614,76,3,0,7,4,10,2,8,0,42
2020-10-31,0,736,15,0,0,2,0,1,0,5,0,7
2020-11-01,1,1439,22,1,0,5,2,2,0,8,0,4
2020-11-02,1,3789,39,5,0,5,3,0,0,12,0,14
2020-11-03,12,18656,301,12,2,78,29,45,5,74,0,56
2020-11-04,6,18141,217,14,0,50,29,17,5,52,0,50
2020-11-05,4,9890,90,5,0,32,10,1,2,25,0,15
2020-11-06,0,5602,67,3,0,18,4,12,1,21,0,8
2020-11-07,0,1259,11,0,0,3,1,1,0,4,0,2
2020-11-08,0,939,4,0,0,0,0,2,0,0,0,2
2020-11-09,5,9438,230,6,0,57,26,11,3,44,0,83
2020-11-10,5,10090,150,6,0,37,16,9,3,37,0,42
2020-11-11,5,10428,189,8,0,32,13,14,3,41,2,76
2020-11-12,4,9002,147,5,1,39,11,19,3,24,0,45
2020-11-13,10,15384,552,23,1,106,37,83,19,120,0,163
2020-11-14,0,3453,263,2,0,12,12,45,2,60,0,130
2020-11-15,1,1870,69,0,0,6,6,18,2,20,0,17
2020-11-16,19,39173,1162,48,3,183,106,59,11,242,0,510
2020-11-17,26,68616,835,51,9,191,84,16,12,175,1,296
2020-11-18,17,40590,520,22,5,132,68,8,10,170,0,105
2020-11-19,21,31008,354,16,6,103,58,7,5,108,0,51
2020-11-20,17,26701,254,16,0,102,40,6,9,60,0,116
2020-11-21,5,14703,112,4,0,30,21,6,3,45,0,17
2020-11-22,0,2985,24,2,0,4,4,0,0,9,0,7
2020-11-23,1,5760,82,4,0,18,12,13,0,31,0,7
2020-11-24,1,6306,68,3,0,10,5,16,0,30,0,7
2020-11-25,1,4223,31,1,0,7,2,5,0,15,0,1
2020-11-26,1,3606,23,2,0,2,2,4,1,9,0,4
